DATE,HourlyDryBulbTemperature,HourlyDewPointTemperature,HourlyStationPressure,HourlyWindSpeed,HourlyPrecipitation
2019-01-01T00:53:00,71,65,30.14,0,0.00
2019-01-01T01:00:00,71,65,30.11,0,NA
2019-01-01T01:53:00,70,65,30.14,3,0.00
2019-01-01T02:53:00,69,65,30.13,0,0.00
2019-01-01T03:53:00,68,65,30.13,0,0.00
2019-01-01T04:00:00,68,65,30.10,0,NA
2019-01-01T04:53:00,65,63,30.13,0,0.00
2019-01-01T05:53:00,67,64,30.14,0,0.00
2019-01-01T06:53:00,67,64,30.15,3,0.00
2019-01-01T07:00:00,67,64,30.12,3,NA
2019-01-01T07:53:00,67,65,30.16,5,0.00
2019-01-01T08:53:00,71,67,30.19,3,0.00
2019-01-01T09:53:00,74,68,30.20,7,0.00
2019-01-01T10:00:00,74,68,30.17,7,NA
2019-01-01T10:53:00,78,68,30.19,7,0.00
2019-01-01T11:53:00,76,69,30.17,7,0.00
2019-01-01T12:53:00,79,69,30.14,7,0.00
2019-01-01T13:00:00,79,69,30.11,7,NA
2019-01-01T13:53:00,79,68,30.12,8,0.00
2019-01-01T14:53:00,79,66,30.12,6,0.00
2019-01-01T15:53:00,80,64,30.12,5,0.00
2019-01-01T16:00:00,80,64,30.09,5,NA
2019-01-01T16:53:00,78,65,30.14,7,0.00
2019-01-01T17:53:00,74,67,30.15,5,0.00
2019-01-01T18:53:00,73,66,30.17,3,0.00
2019-01-01T19:00:00,73,66,30.14,3,NA
2019-01-01T19:53:00,72,67,30.18,6,0.00
2019-01-01T20:53:00,72,67,30.17,6,0.00
2019-01-01T21:53:00,71,67,30.17,0,0.00
2019-01-01T22:00:00,71,67,30.14,0,NA
2019-01-01T22:53:00,71,66,30.16,0,0.00
2019-01-01T23:53:00,70,66,30.16,0,0.00
2019-01-02T00:53:00,69,66,30.15,5,0.00
2019-01-02T01:00:00,69,66,30.12,5,NA
2019-01-02T01:53:00,68,65,30.16,3,0.00
2019-01-02T02:53:00,69,65,30.15,5,0.00
2019-01-02T03:53:00,69,64,30.14,0,0.00
2019-01-02T04:00:00,69,64,30.11,0,NA
2019-01-02T04:53:00,68,64,30.13,3,0.00
2019-01-02T05:53:00,68,64,30.15,0,0.00
2019-01-02T06:53:00,69,64,30.17,3,0.00
2019-01-02T07:00:00,69,64,30.14,3,NA
2019-01-02T07:53:00,69,65,30.19,3,0.00
2019-01-02T08:53:00,70,66,30.20,0,0.00
2019-01-02T09:53:00,74,67,30.21,6,0.00
2019-01-02T10:00:00,74,67,30.18,6,NA
2019-01-02T10:53:00,78,66,30.19,8,0.00
2019-01-02T11:53:00,78,68,30.17,9,0.00
2019-01-02T12:53:00,79,66,30.13,9,0.00
2019-01-02T13:00:00,79,66,30.10,9,NA
2019-01-02T13:53:00,79,65,30.11,3,0.00
2019-01-02T14:53:00,81,64,30.09,0,0.00
2019-01-02T15:53:00,82,60,30.09,7,0.00
2019-01-02T16:00:00,82,60,30.06,7,NA
2019-01-02T16:53:00,81,59,30.08,5,0.00
2019-01-02T17:53:00,79,60,30.08,3,0.00
2019-01-02T18:53:00,78,60,30.10,0,0.00
2019-01-02T19:00:00,78,60,30.07,0,NA
2019-01-02T19:53:00,76,60,30.09,0,0.00
2019-01-02T20:53:00,75,60,30.09,0,0.00
2019-01-02T21:53:00,72,64,30.10,0,0.00
2019-01-02T22:00:00,72,64,30.07,0,NA
2019-01-02T22:53:00,72,62,30.08,0,0.00
2019-01-02T23:53:00,71,63,30.05,6,0.00
2019-01-03T00:53:00,70,63,30.06,3,0.00
2019-01-03T01:00:00,70,63,30.03,3,NA
2019-01-03T01:53:00,70,63,30.05,7,0.00
2019-01-03T02:53:00,70,64,30.04,6,0.00
2019-01-03T03:53:00,70,64,30.06,5,0.00
2019-01-03T04:00:00,70,64,30.03,5,NA
2019-01-03T04:53:00,70,65,30.04,3,0.00
2019-01-03T05:53:00,70,66,30.05,7,0.00
2019-01-03T06:53:00,70,67,30.05,6,0.00
2019-01-03T07:00:00,70,67,30.02,6,NA
2019-01-03T07:53:00,70,67,30.08,0,0.00
2019-01-03T07:56:00,70,68,30.08,0,NA
2019-01-03T08:23:00,71,69,30.10,3,NA
2019-01-03T08:53:00,72,69,30.12,5,0.00
2019-01-03T09:38:00,73,69,30.13,7,NA
2019-01-03T09:53:00,75,70,30.12,8,0.00
2019-01-03T10:00:00,75,70,30.09,8,NA
2019-01-03T10:36:00,76,70,30.10,6,T
2019-01-03T10:44:00,76,70,30.10,5,T
2019-01-03T10:53:00,77,70,30.09,7,T
2019-01-03T11:53:00,78,71,30.07,9,0.00
2019-01-03T12:53:00,78,70,30.04,10,0.00
2019-01-03T13:00:00,78,70,30.01,10,NA
2019-01-03T13:53:00,78,70,30.02,9,0.00
2019-01-03T14:53:00,78,70,30.01,10,0.00
2019-01-03T15:53:00,77,70,30.02,6,0.00
2019-01-03T16:00:00,77,70,29.99,6,NA
2019-01-03T16:53:00,76,70,30.02,7,0.00
2019-01-03T17:53:00,73,69,30.02,5,0.00
2019-01-03T18:53:00,73,69,30.02,3,T
2019-01-03T19:00:00,73,69,29.99,3,NA
2019-01-03T19:53:00,72,69,30.03,3,0.00
2019-01-03T20:51:00,72,70,30.03,0,NA
2019-01-03T20:53:00,72,70,30.03,0,0.00
2019-01-03T21:53:00,72,70,30.03,0,0.00
2019-01-03T22:00:00,72,70,30.00,0,NA
2019-01-03T22:20:00,71,69,30.03,3,NA
2019-01-03T22:51:00,72,70,30.01,3,NA
2019-01-03T22:53:00,71,70,30.01,3,0.00
2019-01-03T23:46:00,72,70,30.01,7,NA
2019-01-03T23:53:00,72,70,30.01,7,0.00
2019-01-04T00:51:00,72,70,29.99,5,NA
2019-01-04T00:53:00,71,70,29.99,6,0.00
2019-01-04T01:00:00,71,70,29.96,6,NA
2019-01-04T01:30:00,71,69,29.99,5,NA
2019-01-04T01:53:00,71,69,30.00,5,0.00
2019-01-04T02:05:00,70,69,30.00,8,NA
2019-01-04T02:14:00,70,69,30.00,7,NA
2019-01-04T02:53:00,70,69,29.99,7,0.00
2019-01-04T03:53:00,70,69,29.98,7,0.00
2019-01-04T04:00:00,70,69,29.95,7,NA
2019-01-04T04:53:00,70,69,29.97,6,0.00
2019-01-04T05:53:00,71,70,29.96,7,0.00
2019-01-04T06:00:00,71,70,29.96,7,NA
2019-01-04T06:34:00,71,69,29.96,6,NA
2019-01-04T06:51:00,72,70,29.96,6,NA
2019-01-04T06:53:00,71,69,29.96,5,0.00
2019-01-04T07:00:00,71,69,29.93,5,NA
2019-01-04T07:00:00,71,69,29.96,6,NA
2019-01-04T07:47:00,72,70,29.96,9,NA
2019-01-04T07:53:00,71,69,29.96,7,0.00
2019-01-04T08:44:00,72,70,29.97,7,NA
2019-01-04T08:53:00,72,70,29.98,10,0.00
2019-01-04T09:19:00,72,69,29.99,11,NA
2019-01-04T09:53:00,74,68,29.99,15,0.00
2019-01-04T10:00:00,74,68,29.96,15,NA
2019-01-04T10:53:00,74,69,29.99,13,0.00
2019-01-04T11:02:00,76,70,29.99,14,NA
2019-01-04T11:53:00,77,70,29.96,16,0.00
2019-01-04T12:53:00,77,71,29.93,16,0.00
2019-01-04T13:00:00,77,71,29.90,16,NA
2019-01-04T13:53:00,76,70,29.92,20,0.00
2019-01-04T14:53:00,76,70,29.91,21,0.00
2019-01-04T15:41:00,71,66,29.94,18,NA
2019-01-04T15:49:00,70,66,29.94,14,0.05
2019-01-04T15:53:00,69,66,29.94,13,0.21s
2019-01-04T15:57:00,69,67,29.94,10,0.09
2019-01-04T16:00:00,69,66,29.91,13,NA
2019-01-04T16:24:00,68,67,29.95,10,0.42
2019-01-04T16:44:00,68,66,29.94,8,0.55
2019-01-04T16:48:00,66,66,29.94,7,0.57
2019-01-04T16:53:00,67,66,29.94,8,0.48
2019-01-04T17:53:00,65,62,29.95,7,0.11
2019-01-04T18:09:00,65,61,29.96,8,0.01
2019-01-04T18:30:00,64,61,29.96,3,0.02
2019-01-04T18:53:00,64,61,29.97,5,0.04
2019-01-04T19:00:00,64,61,29.94,5,NA
2019-01-04T19:11:00,64,61,29.95,0,NA
2019-01-04T19:53:00,65,59,29.98,8,0.00
2019-01-04T20:53:00,65,59,29.97,8,0.00
2019-01-04T21:53:00,65,59,29.98,8,0.00
2019-01-04T22:00:00,65,59,29.95,8,NA
2019-01-04T22:53:00,66,59,29.97,10,0.00
2019-01-04T23:53:00,67,56,29.97,10,0.00
2019-01-05T00:53:00,67,55,29.97,15,0.00
2019-01-05T01:00:00,67,55,29.94,15,NA
2019-01-05T01:53:00,66,53,29.97,16,0.00
2019-01-05T02:53:00,66,54,29.97,13,0.00
2019-01-05T03:53:00,66,55,29.97,14,0.00
2019-01-05T04:00:00,66,55,29.94,14,NA
2019-01-05T04:53:00,66,57,29.97,14,0.00
2019-01-05T05:53:00,67,58,29.96,13,0.00
2019-01-05T06:53:00,68,59,29.98,11,0.00
2019-01-05T07:00:00,68,59,29.95,11,NA
2019-01-05T07:53:00,66,58,30.01,11,0.00
2019-01-05T08:53:00,67,56,30.04,13,0.00
2019-01-05T09:53:00,65,55,30.07,17,0.00
2019-01-05T10:00:00,65,55,30.04,17,NA
2019-01-05T10:53:00,66,54,30.09,15,0.00
2019-01-05T11:53:00,67,53,30.07,14,0.00
2019-01-05T12:53:00,66,52,30.05,15,0.00
2019-01-05T13:00:00,66,52,30.02,15,NA
2019-01-05T13:53:00,66,52,30.04,15,0.00
2019-01-05T14:42:00,65,52,30.04,15,NA
2019-01-05T14:53:00,63,52,30.05,11,0.00
2019-01-05T15:53:00,63,51,30.05,11,0.00
2019-01-05T16:00:00,63,51,30.02,11,NA
2019-01-05T16:53:00,60,51,30.07,15,0.00
2019-01-05T17:53:00,59,50,30.09,10,0.00
2019-01-05T18:53:00,58,50,30.10,10,0.00
2019-01-05T19:00:00,58,50,30.07,10,NA
2019-01-05T19:53:00,57,50,30.12,7,0.00
2019-01-05T20:27:00,56,50,30.12,8,NA
2019-01-05T20:53:00,55,50,30.12,5,0.00
2019-01-05T21:53:00,55,50,30.13,5,0.00
2019-01-05T22:00:00,55,50,30.10,5,NA
2019-01-05T22:53:00,54,50,30.12,5,0.00
2019-01-05T23:53:00,54,51,30.12,3,0.00
2019-01-06T00:53:00,54,51,30.12,6,0.00
2019-01-06T01:00:00,54,51,30.09,6,NA
2019-01-06T01:53:00,54,50,30.13,5,0.00
