DATE,HourlyDryBulbTemperature,HourlyDewPointTemperature,HourlyStationPressure,HourlyWindSpeed,HourlyPrecipitation
2020-01-01T00:53:00,58,47,30.09,0,0.00
2020-01-01T01:00:00,58,47,30.06,0,NA
2020-01-01T01:53:00,58,48,30.07,0,0.00
2020-01-01T02:53:00,58,49,30.07,0,0.00
2020-01-01T03:53:00,63,46,30.06,3,0.00
2020-01-01T04:00:00,63,46,30.03,3,NA
2020-01-01T04:53:00,64,49,30.06,3,0.00
2020-01-01T05:53:00,62,49,30.07,8,0.00
2020-01-01T06:53:00,57,47,30.09,NA,0.00
2020-01-01T07:00:00,57,47,30.06,0,NA
2020-01-01T07:53:00,58,45,30.11,8,0.00
2020-01-01T08:53:00,59,39,30.12,5,0.00
2020-01-01T09:53:00,61,36,30.16,9,0.00
2020-01-01T10:00:00,61,36,30.13,9,NA
2020-01-01T10:53:00,64,36,30.13,7,0.00
2020-01-01T11:53:00,69,34,30.12,8,0.00
2020-01-01T12:53:00,68,36,30.07,3,0.00
2020-01-01T13:00:00,68,36,30.04,3,NA
2020-01-01T13:53:00,72,32,30.03,0,0.00
2020-01-01T14:53:00,72,37,30.02,7,0.00
2020-01-01T15:53:00,71,38,30.03,6,0.00
2020-01-01T16:00:00,71,38,30.00,6,NA
2020-01-01T16:53:00,71,38,30.04,0,0.00
2020-01-01T17:53:00,71,39,30.05,9,0.00
2020-01-01T18:53:00,70,41,30.06,6,0.00
2020-01-01T19:00:00,70,41,30.03,6,NA
2020-01-01T19:53:00,69,41,30.07,8,0.00
2020-01-01T20:53:00,66,41,30.08,6,0.00
2020-01-01T21:53:00,64,40,30.09,7,0.00
2020-01-01T22:00:00,64,40,30.06,7,NA
2020-01-01T22:53:00,65,41,30.09,7,0.00
2020-01-01T23:53:00,65,41,30.06,11,0.00
2020-01-02T00:53:00,65,41,30.04,6,0.00
2020-01-02T01:00:00,65,41,30.01,6,NA
2020-01-02T01:53:00,65,41,30.03,7,0.00
2020-01-02T02:53:00,63,42,30.02,10,0.00
2020-01-02T03:53:00,63,41,30.03,8,0.00
2020-01-02T04:00:00,63,41,30.00,8,NA
2020-01-02T04:53:00,63,41,30.03,8,0.00
2020-01-02T05:53:00,57,52,30.04,6,0.00
2020-01-02T06:53:00,58,52,30.05,3,0.00
2020-01-02T07:00:00,58,52,30.02,3,NA
2020-01-02T07:53:00,63,46,30.06,7,0.00
2020-01-02T08:53:00,66,51,30.08,5,0.00
2020-01-02T09:53:00,68,52,30.09,11,0.00
2020-01-02T10:00:00,68,52,30.06,11,NA
2020-01-02T10:53:00,74,57,30.09,10,0.00
2020-01-02T11:53:00,76,60,30.07,11,0.00
2020-01-02T12:53:00,79,62,30.03,13,0.00
2020-01-02T13:00:00,79,62,30.00,13,NA
2020-01-02T13:53:00,80,63,29.99,11,0.00
2020-01-02T14:53:00,79,60,29.98,9,0.00
2020-01-02T15:53:00,77,65,29.98,10,0.00
2020-01-02T16:00:00,77,65,29.95,10,NA
2020-01-02T16:53:00,75,64,29.98,8,0.00
2020-01-02T17:53:00,74,64,29.98,11,0.00
2020-01-02T18:53:00,73,63,29.99,6,0.00
2020-01-02T19:00:00,73,63,29.96,6,NA
2020-01-02T19:53:00,73,61,30.00,7,0.00
2020-01-02T20:53:00,73,61,30.01,6,0.00
2020-01-02T21:53:00,72,64,30.01,6,0.00
2020-01-02T22:00:00,72,64,29.98,6,NA
2020-01-02T22:53:00,71,65,30.01,6,0.00
2020-01-02T23:53:00,71,65,30.01,6,0.00
2020-01-03T00:53:00,70,65,30.01,5,0.00
2020-01-03T01:00:00,70,65,29.98,5,NA
2020-01-03T01:53:00,69,65,30.01,3,0.00
2020-01-03T02:53:00,69,65,30.01,6,0.00
2020-01-03T03:53:00,69,65,30.00,6,0.00
2020-01-03T04:00:00,69,65,29.97,6,NA
2020-01-03T04:00:00,69,65,30.00,6,NA
2020-01-03T04:51:00,70,64,30.01,6,NA
2020-01-03T04:53:00,69,65,30.01,6,0.00
2020-01-03T05:53:00,69,65,30.01,6,0.00
2020-01-03T06:53:00,69,65,30.02,14,0.00
2020-01-03T07:00:00,69,65,29.99,14,NA
2020-01-03T07:53:00,73,63,30.02,17,0.00
2020-01-03T08:53:00,74,66,30.04,14,0.00
2020-01-03T09:54:00,75,71,30.05,17,NA
2020-01-03T10:51:00,79,72,30.06,10,NA
2020-01-03T10:53:00,78,71,30.06,11,0.00
2020-01-03T11:53:00,79,71,30.03,10,0.00
2020-01-03T12:18:00,79,71,30.03,13,NA
2020-01-03T12:53:00,82,72,30.00,18,0.00
2020-01-03T13:00:00,82,72,29.97,18,NA
2020-01-03T13:53:00,78,70,29.98,15,0.00
2020-01-03T14:53:00,79,70,29.97,14,0.00
2020-01-03T15:53:00,78,69,29.97,15,0.00
2020-01-03T16:00:00,78,69,29.94,15,NA
2020-01-03T16:53:00,78,69,29.99,15,0.00
2020-01-03T17:53:00,74,68,30.00,9,0.00
2020-01-03T18:08:00,74,68,30.00,9,NA
