DATE,HourlyDryBulbTemperature,HourlyDewPointTemperature,HourlyStationPressure,HourlyWindSpeed,HourlyPrecipitation
2023-01-01T00:20:00,67,67,30.07,7,NA
2023-01-01T00:36:00,66,66,30.07,6,NA
2023-01-01T00:41:00,66,66,30.07,7,NA
2023-01-01T00:50:00,66,66,30.07,7,NA
2023-01-01T00:53:00,67,67,30.07,8,0.00
2023-01-01T01:00:00,67,67,30.04,8,NA
2023-01-01T01:35:00,68,68,30.07,6,NA
2023-01-01T01:51:00,68,68,30.07,6,NA
2023-01-01T01:53:00,68,68,30.08,5,0.00
2023-01-01T02:00:00,67,67,30.08,5,NA
2023-01-01T02:05:00,67,67,30.08,0,NA
2023-01-01T02:07:00,67,67,30.08,0,NA
2023-01-01T02:17:00,66,66,30.08,0,NA
2023-01-01T02:35:00,67,67,30.08,0,NA
2023-01-01T02:41:00,67,67,30.08,0,NA
2023-01-01T02:51:00,68,68,30.08,0,NA
2023-01-01T02:53:00,68,68,30.08,0,0.00
2023-01-01T03:46:00,68,68,30.09,0,NA
2023-01-01T03:53:00,68,67,30.09,0,0.00
2023-01-01T04:00:00,68,67,30.06,0,NA
2023-01-01T04:38:00,68,67,30.08,0,NA
2023-01-01T04:49:00,68,66,30.09,0,NA
2023-01-01T04:51:00,68,66,30.09,0,NA
2023-01-01T04:53:00,68,68,30.09,0,0.00
2023-01-01T05:06:00,68,68,30.09,0,NA
2023-01-01T05:18:00,68,68,30.09,0,NA
2023-01-01T05:53:00,68,68,30.10,0,0.00
2023-01-01T06:13:00,68,68,30.10,3,NA
2023-01-01T06:23:00,68,68,30.11,0,NA
2023-01-01T06:51:00,70,70,30.12,0,NA
2023-01-01T06:53:00,69,68,30.12,0,0.00
2023-01-01T07:00:00,69,68,30.09,0,NA
2023-01-01T07:32:00,69,69,30.13,0,NA
2023-01-01T07:45:00,69,69,30.13,0,NA
2023-01-01T07:51:00,70,70,30.14,0,NA
2023-01-01T07:53:00,69,69,30.14,0,0.00
2023-01-01T08:05:00,69,69,30.14,0,NA
2023-01-01T08:15:00,69,69,30.14,0,NA
2023-01-01T08:25:00,70,69,30.14,0,NA
2023-01-01T08:33:00,69,69,30.14,0,NA
2023-01-01T08:43:00,70,70,30.15,0,NA
2023-01-01T08:53:00,70,70,30.15,0,0.00
2023-01-01T09:06:00,70,70,30.15,0,NA
2023-01-01T09:43:00,71,71,30.17,3,NA
2023-01-01T09:53:00,71,71,30.18,3,0.00
2023-01-01T10:00:00,71,71,30.15,3,NA
2023-01-01T10:00:00,71,71,30.17,0,NA
2023-01-01T10:29:00,71,71,30.18,3,NA
2023-01-01T10:53:00,71,71,30.18,3,0.00
2023-01-01T11:51:00,72,72,30.16,6,NA
2023-01-01T11:53:00,72,71,30.16,6,0.00
2023-01-01T12:03:00,71,70,30.16,5,NA
2023-01-01T12:06:00,71,70,30.15,5,NA
2023-01-01T12:53:00,71,71,30.13,3,0.00
2023-01-01T12:57:00,71,71,30.13,5,NA
2023-01-01T13:00:00,71,71,30.10,3,NA
2023-01-01T13:39:00,73,71,30.12,6,NA
2023-01-01T13:53:00,73,71,30.11,5,0.00
2023-01-01T14:53:00,76,71,30.11,3,0.00
2023-01-01T15:53:00,73,70,30.11,5,0.00
2023-01-01T16:00:00,73,70,30.08,5,NA
2023-01-01T16:53:00,73,70,30.11,3,0.00
2023-01-01T17:53:00,71,69,30.12,0,0.00
2023-01-01T18:53:00,70,68,30.14,3,0.00
2023-01-01T19:00:00,70,68,30.11,3,NA
2023-01-01T19:53:00,70,69,30.16,0,0.00
2023-01-01T20:53:00,67,66,30.17,0,0.00
2023-01-01T21:53:00,67,66,30.18,3,0.00
2023-01-01T22:00:00,67,66,30.15,3,NA
2023-01-01T22:17:00,67,66,30.18,0,NA
2023-01-01T22:53:00,67,67,30.18,3,0.00
2023-01-01T23:53:00,68,67,30.17,3,0.00
2023-01-02T00:39:00,68,66,30.17,5,NA
2023-01-02T00:53:00,68,66,30.16,3,0.00
2023-01-02T01:00:00,68,66,30.13,3,NA
2023-01-02T01:53:00,67,66,30.15,0,0.00
2023-01-02T02:53:00,68,67,30.15,3,0.00
2023-01-02T03:53:00,68,66,30.15,5,0.00
2023-01-02T04:00:00,68,66,30.12,5,NA
2023-01-02T04:43:00,67,66,30.15,0,NA
2023-01-02T04:51:00,66,66,30.15,0,NA
2023-01-02T04:53:00,67,66,30.15,0,0.00
2023-01-02T05:53:00,68,66,30.16,0,0.00
2023-01-02T06:53:00,67,65,30.17,5,0.00
2023-01-02T07:00:00,67,65,30.14,5,NA
2023-01-02T07:53:00,68,66,30.18,6,0.00
2023-01-02T08:53:00,69,67,30.20,5,0.00
2023-01-02T09:53:00,75,69,30.22,3,0.00
2023-01-02T10:00:00,75,69,30.19,3,NA
2023-01-02T10:53:00,77,70,30.22,6,0.00
2023-01-02T11:53:00,79,70,30.20,7,0.00
2023-01-02T12:53:00,80,69,30.17,7,0.00
2023-01-02T13:00:00,80,69,30.14,7,NA
2023-01-02T13:53:00,80,69,30.15,3,0.00
2023-01-02T14:53:00,82,66,30.14,7,0.00
2023-01-02T15:53:00,82,65,30.13,7,0.00
2023-01-02T16:00:00,82,65,30.10,7,NA
2023-01-02T16:53:00,82,65,30.13,5,0.00
2023-01-02T17:53:00,80,65,30.14,5,0.00
2023-01-02T18:53:00,78,64,30.15,0,0.00
2023-01-02T19:00:00,78,64,30.12,0,NA
2023-01-02T19:53:00,76,62,30.15,5,0.00
2023-01-02T20:53:00,75,64,30.17,7,0.00
2023-01-02T21:53:00,73,65,30.17,6,0.00
2023-01-02T22:00:00,73,65,30.14,6,NA
2023-01-02T22:53:00,72,66,30.18,6,0.00
2023-01-02T23:53:00,71,66,30.17,8,0.00
2023-01-03T00:53:00,69,65,30.16,6,0.00
2023-01-03T01:00:00,69,65,30.13,6,NA
2023-01-03T01:53:00,68,65,30.15,8,0.00
2023-01-03T02:53:00,68,65,30.15,7,0.00
2023-01-03T03:53:00,67,65,30.15,6,0.00
2023-01-03T04:00:00,67,65,30.12,6,NA
2023-01-03T04:53:00,67,65,30.13,6,0.00
2023-01-03T05:51:00,66,64,30.14,6,NA
2023-01-03T05:53:00,67,65,30.14,6,0.00
2023-01-03T06:53:00,67,65,30.15,6,0.00
2023-01-03T07:00:00,67,65,30.12,6,NA
2023-01-03T07:53:00,67,65,30.16,5,0.00
2023-01-03T08:53:00,70,66,30.17,6,0.00
2023-01-03T09:53:00,74,68,30.17,9,0.00
2023-01-03T10:00:00,74,68,30.14,9,NA
2023-01-03T10:53:00,77,69,30.16,10,0.00
2023-01-03T11:53:00,79,68,30.13,13,0.00
2023-01-03T12:37:00,80,67,30.11,11,NA
2023-01-03T12:53:00,80,67,30.10,10,0.00
2023-01-03T13:00:00,80,67,30.07,10,NA
2023-01-03T13:53:00,82,68,30.08,8,0.00
2023-01-03T14:53:00,81,67,30.07,9,0.00
2023-01-03T15:31:00,80,67,30.06,10,NA
2023-01-03T15:53:00,79,66,30.06,9,0.00
2023-01-03T16:00:00,79,66,30.03,9,NA
2023-01-03T16:53:00,77,66,30.05,7,0.00
2023-01-03T17:53:00,74,66,30.05,8,0.00
2023-01-03T18:53:00,72,67,30.06,7,0.00
2023-01-03T19:00:00,72,67,30.03,7,NA
2023-01-03T19:53:00,72,66,30.08,8,0.00
2023-01-03T20:53:00,71,67,30.08,8,0.00
2023-01-03T21:53:00,70,67,30.09,7,0.00
2023-01-03T22:00:00,70,67,30.06,7,NA
2023-01-03T22:53:00,70,68,30.09,7,0.00
2023-01-03T23:53:00,70,68,30.09,3,0.00
2023-01-04T00:53:00,70,67,30.09,3,0.00
2023-01-04T01:00:00,70,67,30.06,3,NA
2023-01-04T01:53:00,70,67,30.07,7,0.00
2023-01-04T02:53:00,69,68,30.07,6,0.00
2023-01-04T03:53:00,70,68,30.07,6,0.00
2023-01-04T04:00:00,70,68,30.04,6,NA
2023-01-04T04:53:00,70,68,30.06,9,0.00
2023-01-04T05:53:00,70,68,30.05,8,0.00
2023-01-04T06:53:00,71,69,30.07,7,0.00
2023-01-04T07:00:00,71,69,30.04,7,NA
2023-01-04T07:53:00,71,69,30.09,7,0.00
2023-01-04T08:28:00,71,69,30.09,8,NA
2023-01-04T08:53:00,72,70,30.10,8,0.00
2023-01-04T09:53:00,75,70,30.11,10,0.00
2023-01-04T10:00:00,75,70,30.08,10,NA
2023-01-04T10:53:00,79,71,30.12,14,0.00
2023-01-04T11:53:00,81,72,30.11,10,0.00
2023-01-04T12:53:00,78,71,30.09,16,0.00
2023-01-04T13:00:00,78,71,30.06,16,NA
2023-01-04T13:53:00,78,71,30.07,17,0.00
2023-01-04T14:53:00,76,70,30.06,14,0.00
2023-01-04T15:53:00,76,70,30.06,13,0.00
2023-01-04T16:00:00,76,70,30.03,13,NA
2023-01-04T16:53:00,75,70,30.06,11,0.00
2023-01-04T17:53:00,73,70,30.08,7,0.00
2023-01-04T18:53:00,73,70,30.08,9,T
2023-01-04T19:00:00,73,70,30.05,9,NA
2023-01-04T19:53:00,71,70,30.10,8,0.00
2023-01-04T20:53:00,72,70,30.12,6,0.00
2023-01-04T21:01:00,71,70,30.12,3,NA
2023-01-04T21:17:00,72,68,30.14,9,NA
2023-01-04T21:23:00,69,67,30.15,15,0.07
2023-01-04T21:24:00,69,67,30.15,14,0.09
2023-01-04T21:32:00,68,67,30.15,8,0.27
2023-01-04T21:46:00,68,67,30.15,3,0.38
2023-01-04T21:49:00,68,66,30.14,5,0.39
2023-01-04T21:53:00,68,67,30.14,5,0.40
2023-01-04T22:00:00,68,67,30.11,5,NA
2023-01-04T22:12:00,69,67,30.13,0,0.03
2023-01-04T22:53:00,69,67,30.13,9,0.04
2023-01-04T23:53:00,69,68,30.12,5,T
2023-01-05T00:15:00,70,69,30.12,5,T
2023-01-05T00:33:00,70,69,30.11,6,T
2023-01-05T00:53:00,69,68,30.11,5,0.00
2023-01-05T01:00:00,69,68,30.08,5,NA
2023-01-05T01:51:00,70,68,30.11,5,NA
2023-01-05T01:53:00,69,68,30.11,5,0.00
2023-01-05T02:28:00,68,66,30.10,9,NA
2023-01-05T02:53:00,67,66,30.10,6,0.00
2023-01-05T03:53:00,67,66,30.10,0,0.00
2023-01-05T04:00:00,67,66,30.07,0,NA
2023-01-05T04:05:00,67,66,30.10,0,NA
2023-01-05T04:53:00,67,66,30.10,3,0.00
